sents,labels
gg wp [SEPA] Sry for my feed,S S SEPA O O P D
dnt play storm,O O C
LOL,O
this could not be won,P O O O O
gg wp,S S
weaver mid dont worry,C S O O
trone,S
[SEPA] bm,SEPA C
gj guys,S P
gg wp,S S
Ty,O
so ez [SEPA] ahahaha,O S SEPA O
hahahai,O
and blame us,O O P
YEAAHHHHHHHHH [SEPA] GGGGGGGGGGGG,O SEPA S
EZ,S
aw,O
and telling im too much of a solo player,O O O O O O O S O
He s never picked in pubs and the only bracket he has over 5 win rate is very high skill on asian servers [SEPA] So shut up and pick something fun [SEPA] You cucks,P O O O O O O O O O P O O O O O O O O S O O O SEPA O O O O O P O SEPA P O
2v5 game,O O
lmao,O
captain obvious,O O
ggwp,S
lol,O
right,O
[SEPA] :D :DD,SEPA O O
:D,O
better buy ur ticket,O O P O
lol,O
game was close,O O O
this furion dont kno necro book and push i think :D,P C O O C O O S P O O
rage quit agad,D O O
DONT PANIC,O O
GGW P,O O
wow [SEPA] blame [SEPA] see,O SEPA O SEPA O
sad game [SEPA] oh i have 13 kills,O O SEPA O P O O O
glad you got suport,O P O S
gogo end now mid all,O O O S P
i did,P O
i leave 4 u,P O O P
play in a five stack [SEPA] or put up with th cancer,O O O O O SEPA O O O O O S
24,O
come to mama,O O O
hhaha,O
throws,S
ez noobs,S T
Tol musta [SEPA] Text text nalang,O O SEPA O O O
shit happens :),T O O
[SEPA] i am not russian,SEPA P C O O
waaa,O
void dick head,C T D
top t2 for rosh,S O O S
duza lose man,O O P
xaxaxa,O
gee gee wp,O O S
we play 5x4 22 min,P O O O O
wheres my facepalm emote [SEPA] talking when ur legion carry u,P P O O SEPA O O P C S P
best mid all time [SEPA] report brew pls i will commend u guys,O S P O SEPA S O O P O O P P
GG,S
ofc its ez,O P S
stupid no ward gg,T O S S
we rosh now,P S O
really,O
LOL,O
i fuck ur family [SEPA] NOOB,P T P O SEPA T
i buy acc,P O O
its over [SEPA] late game [SEPA] obviusly you win [SEPA] GG,P O SEPA O O SEPA O P O SEPA S
gg wp,S S
lol,O
invoker pro [SEPA] kill snierp wihtout dust [SEPA] hey snieper,C O SEPA O O O D SEPA O C
noob,T
ez mid,S S
basically me and mirana are on the wrong team [SEPA] ggwp,O P O C O O O O O SEPA S
gg,S
:),O
rep rt rubick,O O C
O M F G [SEPA] FANI A SUPHD [SEPA] brood won the REST IS SHIT,O O O O SEPA O O O SEPA C O O O O T
Dude 5 slow with 180 pure damage with a chance to crit on a 6 second cooldown [SEPA] for basically 0 mana [SEPA] Genuinely cancer,P O O O O O S O O O O D O O O O S SEPA O O O S SEPA O S
ggwp,S
wait,O
for,O
rat dota best dota,S D O D
come game,O O
why dont end,O O O
he think i don dare to feed [SEPA] HAHA,P O P O O O D SEPA O
how long mor [SEPA] more,O O O SEPA O
rofl indeed,S O
i want leader,P O O
hi leong sir,O O O
ggwp,S
hi serenity,O O
TY,O
gg,S
can you report this [SEPA] alche,O P S P SEPA C
needs a BH [SEPA] still loses,O O C SEPA O O
See u next game noob lion,O P O O T C
lol,O
pro clock [SEPA] finish [SEPA] pls,O C SEPA O SEPA O
wow [SEPA] pro mirana,O SEPA O C
report viper ty,S C O
coz i love u,O P O P
ggwp,S
wO,O
gg wp,S S
AHAHAHA [SEPA] 1vs9090123,O SEPA O
reason,O
can you help us report invoker ;),O P S P S C O
w8 plz,O O
eco mantan,O D
wp,S
LUNA LVL 6 HAHAHA,C O O O
need recon,O O
THANKS TO ME I GUESS,O O P P O
np go rat only [SEPA] HAHA,O S S O SEPA O
they [SEPA] really [SEPA] bought the [SEPA] account,P SEPA O SEPA O O SEPA O
you did not dc,P O O O
end,O
try hard,O O
end pls nomas,O O O
gg,S
im only one hgahahah,O O P O
both team are stupid [SEPA] lol,P O O T SEPA O
just end [SEPA] guys [SEPA] alche 8,O O SEPA P SEPA C O
go play,S O
gg,S
yea feeding lol [SEPA] a carry that got carried,O S O SEPA O S P O O
haha,O
GG [SEPA] Tired of this game already [SEPA] Level 2 Invo in jungle [SEPA] Gank him,S SEPA O O P O O SEPA O O C O S SEPA S P
i pumped a load of cum into your mums ass hole last night,P O O O O T O P O T T O C
hahaha [SEPA] im only 1 there no one came :( [SEPA] hahaha,O SEPA O O O P O P O O SEPA O
bye,O
help report thx [SEPA] nope [SEPA] today only alc [SEPA] normal i wont play,S S O SEPA O SEPA O O C SEPA O P O O
g [SEPA] g,O SEPA O
ez game,S O
did I hit you with tht,O P O P O O
2 minute [SEPA] no more no less,O O SEPA O O O O
ez,S
is unstable [SEPA] no point,O O SEPA O O
commend WR for suporting our asses,O C O O P T
tb and veno are the only competent ones [SEPA] wr maxed wind run first in case you were wondering,C O C O O O O O SEPA C O C O O O O P O O
easy mid,O S
btu we wouldve won if we d idnt have this cm or doom,O P O O O P O O O P C O C
aso,O
rl,O
i bleme team [SEPA] team gimme aids [SEPA] i blem temA [SEPA] report ten,P O O SEPA O O O SEPA P O O SEPA S O
wp,S
lich carrying tissue paper,C O O O
dsnt make a diff i come or not [SEPA] fuckin dickhead,O O O O P O O O SEPA T T
Ge ge,O O
he will come [SEPA] party,P O O SEPA O
YEAH DIDNT HAD THJE SLOT TO DUST [SEPA] ADN ALSO GYRO FFEDED A LOT [SEPA] STILL WE TRIED,O O O O O O D SEPA O O C O O O SEPA O P O
why does your slardar think dazzle is a bad hero btw,O O P C O C O O O O O
so noob crys,O T O
e e,O O
so why did we have to pause 3 more times,O O O P O O O O O O
gg [SEPA] just end,S SEPA O O
hahaha,O
haha [SEPA] haha,O SEPA O
ehehe [SEPA] have problem,O SEPA O O
ge ni mei,O O O
great gane,O O
brobounty [SEPA] brounty,O SEPA O
gg,S
WP,S
GIGIL TO THE MAX [SEPA] Ez game [SEPA] pudge,O O O O SEPA S O SEPA C
hjaha,O
1000 mmr player,O D O
HAhaha,O
entertain ur fingers defending ur ancient [SEPA] haha,O P O O P S SEPA O
Ez 4v5,S O
PROBLEMS [SEPA] EZ PICK DAZLE ORACLE EZ GAME [SEPA] FEED THE ONLY OPTION,O SEPA S O C C S O SEPA D O O O
gg,S
did u see gyro earlyy socre,O P O C O O
TY MEEPO,O C
COMMEND ME TNX,O P O
we lost,P O
wut a sad cunt,O O O T
One by one,P O P
Commend support pls,O S O
HOW BOUT MID,O O S
lol mirana is flying,O C O D
report [SEPA] plz,S SEPA O
muy pro,O O
stupid valve,T O
kkk,T
ez bara no charge,S C O O
well im deinfinately reporting sf,O O O O C
u put 5 hundy on it [SEPA] ahahahahah [SEPA] EPIC,P O O O O P SEPA O SEPA O
goblok,O
GG,S
noob sniper,T C
RO FL,O O
are you ready [SEPA] you shits [SEPA] to get dumpstered [SEPA] by my legendary slardar,O P O SEPA P T SEPA O O O SEPA O P O C
see WR [SEPA] why laught,O C SEPA O O
gg,S
lel,O
cause pudge,O C
lmao ez,O S
yo flare [SEPA] whats up,O O SEPA P O
sk didnt realize for the first seconds wow,C O O O O O O O
in dota [SEPA] minute pls [SEPA] do not be those guys,O D SEPA O O SEPA O O O P P
is that a tiger or a snake in ur logo,O P O O O O O O P O
wo [SEPA] wp,O SEPA S
NO REASON TO CONTINUE,O O O O
1 hit,O O
TY [SEPA] NOOB,O SEPA T
glhf,S
e 4e tam,O O O
EZ,S
bought acc,O O
gg wp [SEPA] ez [SEPA] zombie win,S S SEPA S SEPA O O
where ur team,P P O
1v1,O
COMEBACK :# [SEPA] :3 [SEPA] NO,O O SEPA O SEPA O
ok,O
wouldnt want you to lose dp,O O P O O C
hahah alc,O C
sorry I couldnt resist,O P O O
please report quitters in my team,O S O O P O
Hahaha [SEPA] ggwp [SEPA] hahaha,O SEPA S SEPA O
Fucking hell,T O
FOR THE SON [SEPA] OF GOD [SEPA] ALL THE FCKING [SEPA] JUNGLE [SEPA] ITS WARDED,O O O SEPA O O SEPA P O T SEPA S SEPA P S
retard stalker 14 [SEPA] haha,T O O SEPA O
don,O
7 more,O O
report bh ty :D,S C O O
only know ohhh,O O O
IIIIIII NEED TO KNOW NOW KNOW NOW CAN YOU LOVE ME AGAIN,O O O O O O O O P O P O
boys i dont want to spend 10 min of my life to w8 ur mate,O P O O O O O O O P O O O P O
SLARK,C
w8 plz [SEPA] mouse prob,O O SEPA O O
and yet i live,O O P O
b,S
THIS 2K STORM [SEPA] OMG,P O C SEPA O
HAPPY NEW YEAR :D,O O O O
1400 [SEPA] Nice,O SEPA O
LOL,O
u lsot mid bro,P O S P
i thought junglers couldnt get any worse,P O O O O P O
gege,O
noooo,O
Gg,S
rekt,O
invoker what the fuck are u playing,C P O T O P O
OMG,O
EZ,S
report invo,S C
ez,S
u got an alright lineup all things considered [SEPA] also lina [SEPA] didnr random,P O O O O P O O SEPA O C SEPA O O
yea [SEPA] very ez,O SEPA O S
that happens you play pos 5 visage,P O P O O O C
how long time,O O O
qop are u dumb,C O P T
why me huskar [SEPA] Im just rubick,O P C SEPA O O C
what a fantastic game,P O O O
LOL,O
Your autistic :,P T O
pugna [SEPA] ward next time,C SEPA S O O
funny,O
ez,S
ez 25,S O
u can ban wtf,P O O T
like please,O O
who is talking [SEPA] i got that shit muted too [SEPA] oh yellow [SEPA] rofl,P O O SEPA P O P T O O SEPA O O SEPA S
everyone has enough farm dude,P O P S P
he is crying that carry is stealing his farm,P O O P S O O P S
hahaha [SEPA] that was [SEPA] my dagon is lick a dildo [SEPA] straight up in the ass,O SEPA P O SEPA P D O O O T SEPA O O O O T
:D,O
me too,P O
report this fucking legion,S P T C
noobs [SEPA] reported dazzle,T SEPA O C
fck,T
ill make greeves,O O O
gg attaturk shit,S O T
can u guys make the match more excited,O P P O O O O O
reported wr [SEPA] idiot,O C SEPA T
gg [SEPA] fail mid,S SEPA O S
ah u didnt know,O P O O
u failed [SEPA] is what is going on,P O SEPA O P O O O
Ez rune,S S
HAha,O
quelling,D
EZ MID,S S
lol [SEPA] OK,O SEPA O
ARE YOU really 6k player,O P O O O
Ok noob spec,O T O
[SEPA] cmon,SEPA O
sry,O
poor network,O O
gg wp,S S
;),O
U seen our storm [SEPA] its a miracle we won this,P O P C SEPA P O O P O P
EZ [SEPA] 0 4,S SEPA O O
1k mmr dumb shit [SEPA] Freaking dumb shit reportt axe [SEPA] end plz,O D T T SEPA O T T O C SEPA O O
omg comeback,O O
like this never happened to me before [SEPA] missclick a hero in pickphase,O P O O O P O SEPA O O O O O
pls report doom [SEPA] this idiot has never fought with us,O S C SEPA P T O O O O P
lol that bitch [SEPA] too early too say ez,O P T SEPA O O O O S
rofl,S
lol [SEPA] cannot kill a supp,O SEPA O O O O
can let me surivive first,O O P O O
gg,S
ez game,S O
the trash going to continue [SEPA] or can you play,O O O O O SEPA O O P O
yeah :P But you guys didnt feed me that much :P,O O O P P O D P P O O
WHY [SEPA] SO,O SEPA O
GGwp,S
hehe,O
lol i like the doom talking shit after being fed by the noob ds [SEPA] typical trash :),O P O O C O T O O O O O T O SEPA O O O
scared,O
wp,S
is it made from a potato,O P O O O O
Gg,S
look at these heroes [SEPA] does anyone have fun [SEPA] anymore,O O P O SEPA O P O O SEPA O
cannot leave sry,O O O
WOOW,O
GG commend legion,S O C
not top,O S
lich what happen to pa [SEPA] he is okay,C P O O C SEPA P O O
stop killing me,O O P
liar,O
w8,O
DID YOU WAIT FOR AA,O P O O C
tACTICAL AFK [SEPA] LMAO,O S SEPA O
SUpport alchemiST [SEPA] AlchEMist BRO u OK [SEPA] AlcheMIst Dont SHy [SEPA] Talk,S C SEPA C P P O SEPA C O O SEPA O
nc game,O O
WTFF [SEPA] HAHAHAHAHA [SEPA] omggg [SEPA] u just made me cum,T SEPA O SEPA O SEPA P O O P T
i sitll urge you all to report ember,P O O P P O S C
go [SEPA] hhaha [SEPA] Bye,S SEPA O SEPA O
easiest bate of my life,O O O P O
ALCHE 0 13,C O O
uz it works,O P O
2 ez,O S
this is sparTA D :D :D :D,P O O O O O O
yes [SEPA] ty [SEPA] my crit hack is on point :),O SEPA O SEPA P D O O O O O
ohoy,O
worthit,O
id tap that,O O P
astack [SEPA] DC [SEPA] mag,O SEPA O SEPA O
good game will fucked,O O O T
solo mid sd commend him [SEPA] he said we are 4k trash,S S C O P SEPA P O P O O O
of cur,O O
really i miss u,O P S P
anime loving cunt team [SEPA] gutta luv it,O O T O SEPA O O P
fuck peru,T T
there we go [SEPA] wp,P P S SEPA S
ez breezy [SEPA] suchtryhard [SEPA] silencer,S O SEPA O SEPA C
HABLA BIEN BURRO,O O D
come doom doom me,O C C P
lol [SEPA] threow,O SEPA S
jajaja,O
def,O
lol [SEPA] Ty,O SEPA O
oks [SEPA] c :,O SEPA O O
en late game min 38 sacas dagon sky noob XD,O O O O O O D C T O
next time [SEPA] i have iy [SEPA] it,O O SEPA P O O SEPA P
XD,O
noob pl,T C
loooooooool i wanted lc x d [SEPA] le epig missclick,O P O D O O SEPA O O O
haha,O
:D,O
lel,O
y [SEPA] its 2k wk [SEPA] he doesnt understand that [SEPA] np,O SEPA P O O SEPA P O O P SEPA O
Sure,O
lmao,O
i can see you riki,P O O P C
ahahaha,O
Rtc [SEPA] ti,O SEPA O
noob sf,T C
hes an axe,O O C
<3,O
wp,S
sad man,O P
I am going to titty fuck you Crystal Maiden with my woodden cock,P C O O T T P C C O P O T
this invo,P C
no use,O O
nice aggro lane [SEPA] hate assholes like you guys who go easy dual lanes and think they can jsut win,O S S SEPA O T O P P P S O O S O O P O O O
easy,O
more practice,O O
early,O
and you lest your cum in there [SEPA] are you a faggot,O P O P T O P SEPA O P O T
game losing miss,O O S
tfw we must punish him,O P O O P
ok mega cree bot goo,O O O S O
Rofl,S
we have to go now [SEPA] sorry,P O O S O SEPA O
gyro pls dont try your team suck,C O O O P O T
sir rubick got me killed agagin [SEPA] can report,O C O P O O SEPA O S
you just left them at rune,P O O P O S
ghg,O
u almost got me [SEPA] couz i was watching [SEPA] holy [SEPA] haha,P O O P SEPA O P O O SEPA O SEPA O
you unpaused rubick,P O C
wp,S
lol,O
ahha,O
8 d,O O
w e u say,O O P O
GG,S
yeah [SEPA] 32,O SEPA O
where is he,P O P
rapier,D
sec,O
report,S
loL,O
feel,O
for mk,O O
rip in peppers,O O O
gg,S
NOB TEAM,T O
:D,O
bye,O
nice bash,O O
wow [SEPA] brown,O SEPA O
you are just an ass voker,P O O O T C
EZI ES,S C
nice [SEPA] pc freeze,O SEPA O O
necor idiot as fuck,O T P T
hehehe,O
sad,O
gg,S
rekt,O
100 Gs cmon,O O O
EVERYONE DESD,P O
swap :(,O O
w8 bart,O O
gg,S
WOW,O
enigMa [SEPA] noob [SEPA] u suck,C SEPA T SEPA P T
report clock [SEPA] fed offlane,S C SEPA O S
lol,O
GG,S
AWWW [SEPA] its ok,O SEPA P O
gg,S
whine more guys,O O P
S OpieOP,O O
commend me,O P
gg [SEPA] wipe,S SEPA S
report pudge,S C
would be surprising if didnt,O O O O O
haha,O
nope he was fb,O P O S
kkk,T
ok ty,O O
gg ta [SEPA] u fking godd,S C SEPA P T O
GGWP [SEPA] GGWP,S SEPA S
got two gems,O O O
got wrong [SEPA] u dont need to die [SEPA] dumb fuck,O O SEPA P O O O O SEPA T T
[SEPA] Stop,SEPA O
HEY [SEPA] U OKAY [SEPA] HEY [SEPA] EZ [SEPA] I WANT MORE,O SEPA P O SEPA O SEPA S SEPA P O O
gl boy,S O
endead [SEPA] def,O SEPA O
ez,S
fuck u sylla [SEPA] Ur moving paterns are weird af,T P O SEPA P O O O O O
gg,S
lol,O
scored :(,O O
ggwp,S
good build [SEPA] holy shit the stuns,O O SEPA O T O O
Daun [SEPA] na weavere [SEPA] i venge [SEPA] prosto ebanutie [SEPA] lsi ebanie,O SEPA O C SEPA P C SEPA O O SEPA O O
we wait,P O
what a little bitch,P O O T
What is wrong with you guys,P O O O P P
say ty to doom for the win calling forced fights and stupid engagments [SEPA] as well as going afk feeding [SEPA] i had him on mute list before game always does this stuff,O O O C O O O O O O O T O SEPA P O P O S S SEPA P O P O O O O O O O P O
hahahaahah,O
not bad,O O
lol the lucky bashes,O O O O
so unpause [SEPA] u fuq [SEPA] tyu [SEPA] omfg,O O SEPA P T SEPA O SEPA O
oh sorry [SEPA] i am just 3k [SEPA] sorry 4k6 mmr,O O SEPA P C O O SEPA O O D
tele,O
Reportd mid plz [SEPA] Noooob,O S O SEPA O
2 trolls,O C
wait la,O O
HAHAHA,O
report wr,S C
TY,O
go [SEPA] doom help me,S SEPA C S P
gg,S
but what if you are both right,O P O P O P O
end please [SEPA] end please [SEPA] end please,O O SEPA O O SEPA O O
dead [SEPA] bitch haha,T SEPA T O
gg [SEPA] really,S SEPA O
gg wp,S S
easy,O
wtf [SEPA] haha,T SEPA O
now smoke price increase le,O D O O O
EXCUSE HIM,O P
report ursa,S C
please report this WK,O S P O
booya,O
nice rage fckin fag,O D T T
this antimage xD,P O O
ROFL [SEPA] nice rp btw [SEPA] just got us on the rim,S SEPA O S O SEPA O O P O O O
i starting hate u more and more,P O O P O O O
lol,O
No Today [SEPA] :,O O SEPA O
from now 4 mns,O O O O
4 games in SEA,O O O O
Oryou are at home,O O O O
[SEPA] [SEPA] [SEPA],SEPA SEPA SEPA
idiot team,T O
like your father,O P O
gg wp,S S
i didnt say we will lose,P O O P O O
i love me some slardar,P O P P C
FIGHT PA,O C
end it plz,O P O
miss bro jajajaja,S P O
mlg,O
more [SEPA] pls,O SEPA O
lol,O
watch him on watafak 149,O P O O O
rekt [SEPA] rofl,O SEPA S
gg [SEPA] let it end,S SEPA O P O
lol,O
go mid [SEPA] we cant defend,S S SEPA P O O
i picked qop to counter you,P O C O O P
pick fucking damn hero like my team [SEPA] shit pick it does not enough but shit play is idiot,O T O O O P O SEPA T O P O O P O T O O T
told u guys dont mention him idiot spoterd [SEPA] spotted,O P P O O P T O SEPA O
wp,S
gg,S
thank u,O P
2bad,O
TAKE IT MORE,S P O
GGWP,S
lol,O
Gg,S
LIAR FRIENND,O O
ez,S
gg,S
End,O
xD,O
am eat my fucking shit [SEPA] jummy jummy [SEPA] BYE,C O P T T SEPA O O SEPA O
well [SEPA] its more [SEPA] the dazzle,O SEPA P O SEPA O C
gonna safe,O S
wp [SEPA] Team wipe,S SEPA O S
omg [SEPA] maibe push,O SEPA O S
RLY [SEPA] look at these scrubs [SEPA] then complain,O SEPA O O P O SEPA O O
ez qop to kill [SEPA] haha nap mid ez mmr,S C O O SEPA O O S S D
AND HE S BAD,O P O O
lol,O
TA mid rape EZ,C S T S
i feel u [SEPA] :(,P O P SEPA O
58 ez u mom teach u,O S P D O P
ez,S
gg,S
555,O
yeah [SEPA] gg wp,O SEPA S S
hahahahaa,O
return my 2012,D P O
0,O
LOLOLOL,O
SO EZ [SEPA] AM USELESS [SEPA] GO quit dota 2,O S SEPA C O SEPA S O D O
ho ho,O O
68 [SEPA] XD,O SEPA O
jugg having a cry,C O O O
wasted ulti,T S
Ez,S
< [SEPA] rip,O SEPA O
i died inside long time ago,P O O O O O
his father was a cow farmer,P O O O O O
nightmares,D
i have sniper offlane,P O C S
ggwp,S
SORRY QOP,O C
30s cd,O S
true,O
my bad,P O
GG,S
sorry [SEPA] cannot buy items nor chat,O SEPA O O O O O
i am 22 13 [SEPA] reprot pudge [SEPA] ty [SEPA] 1 11,P C O O SEPA O C SEPA O SEPA O O
aw,O
so close,O O
gg wp,S S
enigma ftw,C O
lo [SEPA] fight me,O SEPA O P
fucking alch,T C
hahaha,O
gg,S
LOL THIS PUDGE,O P C
If i had fallout 4 I would not be here,O P O O O P O O O O
dA BB [SEPA] GERAL TEM [SEPA] tnc,O C SEPA O O SEPA O
ggwp,S
mineski will be there [SEPA] korea gg dota ggggg,O O O P SEPA O S D S
<3,O
not my problem,O P O
sry,O
Weird,O
Dead,T
lol,O
come come [SEPA] end,O O SEPA O
hyung whats happening to mvp,O P O O O
its ok i had fun hooking u guys,P O P O O O P P
2 mint,O O
they r just stupids [SEPA] putting the blame,P O O T SEPA O O O
end thx,O O
lol [SEPA] the throws are real rofl,O SEPA O S O O S
es ahahahah [SEPA] nice ult,C O SEPA O S
EZ mid,S S
1000,O
he didnt [SEPA] stop lying,P O SEPA O O
food,O
ye lol,P O
af [SEPA] mi rampage =S [SEPA] fuck slardar,O SEPA O O O SEPA T C
do not do it or he might cleave you to death,O O O P O P O O P O C
gg [SEPA] finish,S SEPA O
peneoise [SEPA] listen to urself,O SEPA O O P
gg [SEPA] commend THE LORc [SEPA] LORD,S SEPA O O O SEPA O
gg,S
no,O
ahahaha,O
idiot,T
SPECTRE [SEPA] BLASPHEMY,C SEPA O
too good to play dota this sniper,O O O O D P C
D,O
alr 2 min,O O O
he is reconnecting,P O O
jajahaha,O
of ur typical pub safelane is [SEPA] i bet its around 30,O P O O S O SEPA P O P O O
this doom is 2k [SEPA] i can guarantee,P C O O SEPA P O O
ive commended,O O
what is that lesh set from,P O P C O O
we need sentries rather than dust,P O D O O D
gg,S
ez mmrt,S O
gg wagon,S O
husk,C
gg wp,S S
From,O
PogChamp alliance is back,O O O S
good skill,O S
ka bu tooooooooooooo,O O O
ban me [SEPA] im scared,O P SEPA O O
end pls [SEPA] toxic team,O O SEPA O O
lol these 3 eggs [SEPA] these eggs are tsuyuyuy tsokotomotoko,O P O O SEPA P O O O O
like i gonna win it now,O P O O P O
lol,O
y because i am right,O O P C O
10min please [SEPA] bush did 420,O O SEPA O O O
gg wp,S S
es,C
FF [SEPA] report storm and doom,S SEPA S C O C
shut up,O O
lollllllllllllllllll,O
his mother know snow,P C O O
sk was fine,C O O
ez friend [SEPA] :,S O SEPA O
idk but i get no help [SEPA] 13 [SEPA] 5,O O P O O S SEPA O SEPA O
yeah fun,O O
WOWO,O
and then we just started team fighting like gods,O O P O O O O O O
kk [SEPA] sorry [SEPA] g,O SEPA O SEPA O
gg wp,S S
hahahahah [SEPA] HAHAHAHAH [SEPA] HAHAHAHHAHAHA [SEPA] HAHAHAHAHAHAH [SEPA] HAHAHAHAH,O SEPA O SEPA O SEPA O SEPA O
ggwp,S
wait,O
ya [SEPA] lol see od items,O SEPA O O C O
hahaha,O
:/,O
panic ward,O S
see that,O P
ADBOYS,O
report slark,S C
wp wp,S S
we got shit on top,P O T O S
Farm for notthing [SEPA] ez mid [SEPA] ez win,S O O SEPA S S SEPA S O
good deal,O O
gg wp,S S
gg fedeer,S O
HAHA,O
hi there,O P
kay,O
hi,O
nah [SEPA] idont thin kso,O SEPA O O O
eu vi [SEPA] tanto q deram [SEPA] tnc [SEPA] vai se fude [SEPA] mlk 1,O O SEPA O O O SEPA O SEPA O O O SEPA O O
what was that,P O P
echo,O
err,O
No me no game lol,O P O O O
FUCKING NOOB,T T
any item,P O
lol,O
nice,O
HAHAHAHA [SEPA] EZ MID [SEPA] FOR YOU ALCHE,O SEPA S S SEPA O P C
DDD [SEPA] gg,S SEPA S
you died 11 times [SEPA] mostly yo duel,P O O O SEPA O O D
stupid caught up,T O O
ez wisp,S C
super lag,O O
CHINESE QOP,O C
ggwp,S
ebalo [SEPA] shdi davay,O SEPA O O
end fast pls [SEPA] report blood [SEPA] para q no les toque [SEPA] en su ranked,O O O SEPA S S SEPA O O O O O SEPA O O O
poor cap,O O
are you trying to make me laugh [SEPA] [SEPA] coz its working pretty well,O P O O O P O SEPA SEPA O P O O O
idiot am,T C
w8,O
he dead already,P T O
comend me now,O P O
fuck mana burn,T S O
pause plz [SEPA] he speack with me,O O SEPA P O O P
awkawkaw,O
ppl got shitty pcs,O O T O
unpause [SEPA] its too long,O SEPA P O O
no,O
LOL,O
IKR [SEPA] rosh is a good play here,O SEPA S O O O O O
#ERROR!,O
sry,O
but true [SEPA] and idgaf cuz im not pinoy,O O SEPA O O P O O O
nice block [SEPA] es,O S SEPA C
probably not tholugh,O O O
gg,S
rofl [SEPA] all lanes won [SEPA] cause of u eniggerma [SEPA] so dont be smartass,S SEPA P S O SEPA O O P O SEPA O O O O
wp radiant,S O
wagger some mitches,O P O
haah,O
nyx reported for being cancer,C O O O S
SOOOOOOOOOOOOOOOOBAD,O
pudge [SEPA] U OK CHAMP,C SEPA P O O
ez,S
report slark,S C
abba plsss,C O
lol how did this trash undying win [SEPA] using tombstone so shit [SEPA] playing os bad [SEPA] feeding in lane [SEPA] still wins [SEPA] dota is legit game [SEPA] i do everything right [SEPA] i get shit mid [SEPA] being uselsss and feeding [SEPA] and jugg without dmg,O O O P O C O SEPA O D O T SEPA O O O SEPA S O S SEPA O O SEPA D O O O SEPA P O P O SEPA P O T S SEPA O O O S SEPA O C O O
delay,O
wait please,O O
nice aggro lane you fuck,O S S P T
gg,S
report sky,S C
report ta plz,S C O
pudge go home,C S O
:DDDDDDDDDDD [SEPA] RLY [SEPA],O SEPA O SEPA
ok nigga,O T
#ERROR!,O
28 demage for 30 min [SEPA] u kidding me LC,O O O O O SEPA P O P D
lol [SEPA] paper,O SEPA O
LOL wtf,O T
aahaha [SEPA] wow [SEPA] faggot :D,O SEPA O SEPA T O
